what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1414586310608
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1414586310617
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1414586310621
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1414586310635
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1414586310650
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1414586310671
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1414586310691
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1414586310701
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1414586310701
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1414586310710
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1414586310712
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1414586310713
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1414586310715
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1414586310717
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1414586310738
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1414586310740
os,sysinfo,,,"linux",1414586310751
arch,sysinfo,,,"x86",1414586310751
ws,sysinfo,,,"gtk",1414586310751
locale,sysinfo,,,"de_DE",1414586310751
processors,sysinfo,,,"2",1414586310751
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1414586310751
java.runtime.version,sysinfo,,,"1.7.0_65-b32",1414586310751
java.specification.name,sysinfo,,,"Java Platform API Specification",1414586310751
java.specification.vendor,sysinfo,,,"Oracle Corporation",1414586310751
java.specification.version,sysinfo,,,"1.7",1414586310751
java.vendor,sysinfo,,,"Oracle Corporation",1414586310751
java.version,sysinfo,,,"1.7.0_65",1414586310751
java.vm.info,sysinfo,,,"mixed mode, sharing",1414586310751
java.vm.name,sysinfo,,,"OpenJDK Client VM",1414586310752
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414586310752
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1414586310752
java.vm.specification.version,sysinfo,,,"1.7",1414586310752
java.vm.vendor,sysinfo,,,"Oracle Corporation",1414586310752
java.vm.version,sysinfo,,,"24.65-b04",1414586310752
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1414586311282
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1414586311428
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1414586311635
